Data,Unique ZZP users per 10.000 tweets,CBS data,UniqueZZP,Messages Per Day,Nltwitter gebruikers,"Unique ZZP users per 10,000 tweets per 10 million Dutch twitter users",,,,,jaar,Nltwitter gebruikers
1/1/2014,1.32,1337,382,2889915,3500000.00,3.7766805301,,,,,2005,0
1/2/2014,2.82,#N/A,756,2684388,3500000.00,8.0465268061,,,,,2006,0
1/3/2014,2.55,#N/A,733,2872157,3500000.00,7.2916825727,,,,,2007,46
1/4/2014,2.15,#N/A,565,2622057,3500000.00,6.1565622497,,,,,2008,6000
1/5/2014,1.75,#N/A,514,2930259,3500000.00,5.0117461582,,,,,2009,409000
1/6/2014,3.30,#N/A,954,2891395,3500000.00,9.426986924,,,,,2010,2250000
1/7/2014,4.72,#N/A,1238,2623048,3500000.00,13.4848575289,,,,,2011,3106000
1/8/2014,4.12,#N/A,1045,2536461,3500000.00,11.7711815231,,,,,2012,4222000
1/9/2014,3.61,#N/A,902,2501514,3500000.00,10.3023323361,,,,,2013,3675000
1/10/2014,7.79,#N/A,1930,2478078,3500000.00,22.2522685496,,,,,2014,3500000
1/11/2014,2.81,#N/A,691,2457462,3500000.00,8.0338402559,,,,,2015,2800000
1/12/2014,2.02,#N/A,534,2645943,3500000.00,5.7662401863,,,,,,
1/13/2014,4.96,#N/A,1260,2541879,3500000.00,14.1627512561,,,,,,
1/14/2014,3.66,#N/A,921,2514013,3500000.00,10.4670444084,,,,,,
1/15/2014,3.70,#N/A,910,2456685,3500000.00,10.583367424,,,,,,
1/16/2014,4.70,#N/A,1091,2319339,3500000.00,13.4397897726,,,,,,
1/17/2014,3.64,#N/A,914,2512459,3500000.00,10.3939151701,,,,,,
1/18/2014,2.46,#N/A,590,2394038,3500000.00,7.0413012898,,,,,,
1/19/2014,2.11,#N/A,564,2674213,3500000.00,6.0258048683,,,,,,
1/20/2014,4.02,#N/A,918,2284272,3500000.00,11.4822452968,,,,,,
1/21/2014,4.55,#N/A,1056,2322135,3500000.00,12.9929692164,,,,,,
1/22/2014,4.56,#N/A,1140,2498605,3500000.00,13.0358454303,,,,,,
1/23/2014,4.73,#N/A,1156,2444521,3500000.00,13.5112651634,,,,,,
1/24/2014,3.61,#N/A,830,2298040,3500000.00,10.3193528895,,,,,,
1/25/2014,2.41,#N/A,577,2391806,3500000.00,6.8925800361,,,,,,
1/26/2014,2.52,#N/A,659,2611196,3500000.00,7.2107078245,,,,,,
1/27/2014,4.07,#N/A,985,2417519,3500000.00,11.6412144611,,,,,,
1/28/2014,3.92,#N/A,932,2377073,3500000.00,11.2022522777,,,,,,
1/29/2014,3.62,#N/A,891,2461199,3500000.00,10.3433907039,,,,,,
1/30/2014,4.20,#N/A,991,2357910,3500000.00,12.0082130846,,,,,,
1/31/2014,3.35,#N/A,797,2378682,3500000.00,9.5731285525,,,,,,
2/1/2014,2.67,#N/A,652,2440316,3500000.00,7.6336717985,,,,,,
2/2/2014,2.16,#N/A,547,2526936,3500000.00,6.1847911576,,,,,,
2/3/2014,4.12,#N/A,941,2285172,3500000.00,11.7652913154,,,,,,
2/4/2014,3.90,#N/A,899,2306051,3500000.00,11.1383981905,,,,,,
2/5/2014,4.81,#N/A,1155,2400291,3500000.00,13.7483330146,,,,,,
2/6/2014,4.79,#N/A,1144,2389082,3500000.00,13.6812860696,,,,,,
2/7/2014,3.81,#N/A,910,2389051,3500000.00,10.882982406,,,,,,
2/8/2014,2.12,#N/A,503,2374039,3500000.00,6.0535772881,,,,,,
2/9/2014,1.97,#N/A,499,2535581,3500000.00,5.6228307663,,,,,,
2/10/2014,3.94,#N/A,921,2338692,3500000.00,11.2517106632,,,,,,
2/11/2014,4.92,#N/A,1142,2321660,3500000.00,14.0539835413,,,,,,
2/12/2014,4.30,#N/A,1008,2342554,3500000.00,12.2942736859,,,,,,
2/13/2014,4.06,#N/A,950,2342369,3500000.00,11.5877802101,,,,,,
2/14/2014,3.25,#N/A,765,2351669,3500000.00,9.2943109158,,,,,,
2/15/2014,3.08,#N/A,710,2305492,3500000.00,8.7988656155,,,,,,
2/16/2014,2.17,#N/A,544,2505278,3500000.00,6.2040448776,,,,,,
2/17/2014,3.53,#N/A,820,2321962,3500000.00,10.089989168,,,,,,
2/18/2014,3.38,#N/A,829,2455460,3500000.00,9.6461413689,,,,,,
2/19/2014,3.58,#N/A,860,2400017,3500000.00,10.2380227188,,,,,,
