Output data,Polarity threshold is 0.4,,,,,,,Datum,,Unieke ZZPers,NL twitter users,Uniek Normalized
2011Jan 125,2011Jan,125,125.00,2011,Jan,15,15-Jan-2011,15/01/2011,1214,125.00,3106000,40.2446877012
2011Feb 108,2011Feb,108,108.00,2011,Feb,15,15-Feb-2011,15/02/2011,#N/A,108.00,3199000,33.7605501719
2011Mar 123,2011Mar,123,123.00,2011,Mar,15,15-Mar-2011,15/03/2011,#N/A,123.00,3292000,37.3633049818
2011Apr 114,2011Apr,114,114.00,2011,Apr,15,15-Apr-2011,15/04/2011,#N/A,114.00,3385000,33.6779911374
2011May 110,2011May,110,110.00,2011,May,15,15-May-2011,15/05/2011,#N/A,110.00,3478000,31.6273720529
2011Jun 87,2011Jun,87,87.00,2011,Jun,15,15-Jun-2011,15/06/2011,#N/A,87.00,3571000,24.3629235508
2011Jul 101,2011Jul,101,101.00,2011,Jul,15,15-Jul-2011,15/07/2011,#N/A,101.00,3664000,27.5655021834
2011Aug 99,2011Aug,99,99.00,2011,Aug,15,15-Aug-2011,15/08/2011,#N/A,99.00,3757000,26.3508118179
2011Sep 148,2011Sep,148,148.00,2011,Sep,15,15-Sep-2011,15/09/2011,#N/A,148.00,3850000,38.4415584416
2011Oct 95,2011Oct,95,95.00,2011,Oct,15,15-Oct-2011,15/10/2011,#N/A,95.00,3943000,24.0933299518
2011Nov 135,2011Nov,135,135.00,2011,Nov,15,15-Nov-2011,15/11/2011,#N/A,135.00,4036000,33.4489593657
2011Dec 123,2011Dec,123,123.00,2011,Dec,15,15-Dec-2011,15/12/2011,#N/A,123.00,4129000,29.7892952289
2012Jan 121,2012Jan,121,121.00,2012,Jan,15,15-Jan-2012,15/01/2012,1252,121.00,4222000,28.6594031265
2012Feb 126,2012Feb,126,126.00,2012,Feb,15,15-Feb-2012,15/02/2012,#N/A,126.00,4176417,30.1694011877
2012Mar 118,2012Mar,118,118.00,2012,Mar,15,15-Mar-2012,15/03/2012,#N/A,118.00,4130834,28.5656601064
2012Apr 132,2012Apr,132,132.00,2012,Apr,15,15-Apr-2012,15/04/2012,#N/A,132.00,4085251,32.3113561443
2012May 136,2012May,136,136.00,2012,May,15,15-May-2012,15/05/2012,#N/A,136.00,4039668,33.6661329594
2012Jun 169,2012Jun,169,169.00,2012,Jun,15,15-Jun-2012,15/06/2012,#N/A,169.00,3994085,42.3125697125
2012Jul 158,2012Jul,158,158.00,2012,Jul,15,15-Jul-2012,15/07/2012,#N/A,158.00,3948502,40.0151753754
2012Aug 161,2012Aug,161,161.00,2012,Aug,15,15-Aug-2012,15/08/2012,#N/A,161.00,3902919,41.2511763631
2012Sep 221,2012Sep,221,221.00,2012,Sep,15,15-Sep-2012,15/09/2012,#N/A,221.00,3857336,57.293427381
2012Oct 177,2012Oct,177,177.00,2012,Oct,15,15-Oct-2012,15/10/2012,#N/A,177.00,3811753,46.4353277875
